feature,feature_importance,entity,entity_score,entity_type
Feature_59,0.1359678023187819,Protein_RIOX2,34.86905288696289,Protein
Feature_87,2.9719560151700444,Protein_CUBN,33.87763977050781,Protein
Feature_55,0.3976266213048828,Protein_RASSF5,33.85612487792969,Protein
Feature_27,0.1489166099340048,Protein_RANBP9,31.348878860473633,Protein
Feature_33,0.0735596505436413,Protein_LEPR,31.10723114013672,Protein
Feature_42,0.163193464092476,Protein_PDIA4,31.00529670715332,Protein
Feature_8,0.092739637186804,Protein_CCDC91,30.86517333984375,Protein
Feature_42,0.163193464092476,Protein_NMD3,30.761247634887695,Protein
Feature_27,0.1489166099340048,Protein_FEZ1,30.448633193969727,Protein
Feature_76,1.926777937591492,Protein_TRAK1,30.216997146606445,Protein
Feature_33,0.0735596505436413,Protein_NRG1,29.978635787963867,Protein
Feature_73,5.628357082531232,Protein_ERBIN,29.825578689575195,Protein
Feature_27,0.1489166099340048,Protein_SPATC1L,29.637325286865234,Protein
Feature_75,0.0964091514749497,Protein_CTR9,29.08587646484375,Protein
Feature_55,0.3976266213048828,Protein_RABIF,28.861970901489258,Protein
Feature_75,0.0964091514749497,Protein_PLEKHF2,28.777067184448242,Protein
Feature_77,0.9040531957024508,Protein_SPATC1L,28.719032287597656,Protein
Feature_12,0.2120996209586987,Protein_NAA16,28.473289489746094,Protein
Feature_42,0.163193464092476,Protein_TROAP,28.4559326171875,Protein
Feature_8,0.092739637186804,Protein_DEFB123,28.13002586364746,Protein
Feature_25,0.0652430674281751,Protein_MAP7,27.51497459411621,Protein
Feature_6,1.4264192983054746,Protein_NUS1,26.38079833984375,Protein
Feature_55,0.3976266213048828,Protein_MASTL,26.30266571044922,Protein
Feature_57,1.34735077439496,Protein_RASSF5,25.792348861694336,Protein
Feature_77,0.9040531957024508,Protein_ATF1,24.92656898498535,Protein
Feature_71,0.7622194466676266,Protein_MAP7,24.62058448791504,Protein
Feature_17,0.073616438223191,Protein_LMNB2,24.435197830200195,Protein
Feature_77,0.9040531957024508,Protein_TRAK1,24.423648834228516,Protein
Feature_17,0.073616438223191,Protein_SUCO,24.280540466308594,Protein
Feature_71,0.7622194466676266,Protein_LENG8,23.775365829467773,Protein
Feature_71,0.7622194466676266,Protein_TERF1,23.703413009643555,Protein
Feature_78,0.3035666057697351,Protein_ADAMTSL4,23.534549713134766,Protein
Feature_34,0.2528394907376051,Protein_RANBP9,21.783546447753906,Protein
