protein,protein_name,num_models,avg_score,max_score,models,features
Protein_CUBN,CUBN,2,33.87763977050781,33.87763977050781,RandomForest;SVM,Feature_87;Feature_87
Protein_TMEM128,TMEM128,1,32.66533279418945,32.66533279418945,XGBoost,Feature_49
Protein_PRR13,PRR13,1,31.98018455505371,31.98018455505371,XGBoost,Feature_32
Protein_RIOX2,RIOX2,4,31.678532600402832,34.86905288696289,MLP;RandomForest;SVM;XGBoost,Feature_59;Feature_59;Feature_44;Feature_44;Feature_59;Feature_44
Protein_LEPR,LEPR,1,31.10723114013672,31.10723114013672,SVM,Feature_33
Protein_PDIA4,PDIA4,1,31.00529670715332,31.00529670715332,SVM,Feature_42
Protein_CCDC91,CCDC91,1,30.86517333984375,30.86517333984375,SVM,Feature_8
Protein_TRAK1,TRAK1,2,30.216997146606445,30.216997146606445,MLP;SVM,Feature_76;Feature_76
Protein_ERBIN,ERBIN,4,29.825578689575195,29.825578689575195,MLP;RandomForest;SVM;XGBoost,Feature_73;Feature_73;Feature_73;Feature_73
Protein_CTR9,CTR9,2,29.552879333496094,30.48688507080078,MLP;SVM,Feature_75;Feature_26;Feature_75
Protein_RASSF5,RASSF5,4,29.248252868652344,33.85612487792969,MLP;RandomForest;SVM;XGBoost,Feature_55;Feature_57;Feature_57;Feature_55;Feature_57;Feature_55;Feature_57
Protein_SPATC1L,SPATC1L,3,28.972670555114746,29.733585357666016,MLP;RandomForest;SVM,Feature_77;Feature_77;Feature_80;Feature_77
Protein_NAA16,NAA16,3,28.473289489746094,28.473289489746094,MLP;SVM;XGBoost,Feature_12;Feature_12;Feature_12
Protein_RANBP9,RANBP9,2,28.16043472290039,31.348878860473633,RandomForest;SVM,Feature_27;Feature_34;Feature_27
Protein_GNMT,GNMT,3,26.885377883911133,26.885377883911133,MLP;RandomForest;XGBoost,Feature_47;Feature_47;Feature_47
Protein_NUS1,NUS1,3,26.38079833984375,26.38079833984375,MLP;RandomForest;SVM,Feature_6;Feature_6;Feature_6
Protein_MAP7,MAP7,1,26.067779541015625,27.51497459411621,SVM,Feature_25;Feature_71
Protein_BRI3BP,BRI3BP,2,24.883319854736328,26.448688507080078,RandomForest;XGBoost,Feature_53;Feature_53;Feature_41
Protein_PLAA,PLAA,1,24.828598022460938,24.828598022460938,RandomForest,Feature_4
Protein_PDE7A,PDE7A,2,24.639657974243164,24.639657974243164,MLP;RandomForest,Feature_16;Feature_16
Protein_LMNB2,LMNB2,3,24.435197830200195,24.435197830200195,RandomForest;SVM;XGBoost,Feature_17;Feature_17;Feature_17
Protein_MBD2,MBD2,1,24.30706787109375,24.30706787109375,RandomForest,Feature_22
Protein_ADAMTSL4,ADAMTSL4,4,23.534549713134766,23.534549713134766,MLP;RandomForest;SVM;XGBoost,Feature_78;Feature_78;Feature_78;Feature_78
Protein_ZBTB2,ZBTB2,1,22.84899139404297,22.84899139404297,XGBoost,Feature_1
Protein_AEBP2,AEBP2,1,21.792579650878906,21.792579650878906,MLP,Feature_20
Protein_RANGRF,RANGRF,1,21.534151077270508,21.534151077270508,RandomForest,Feature_3
Protein_TGFB3,TGFB3,1,21.32218360900879,21.32218360900879,MLP,Feature_68
Protein_CDCA5,CDCA5,1,20.966354370117188,20.966354370117188,MLP,Feature_74
