go_id,go_name,go_definition,num_biomarkers,biomarkers
72659,protein localization to plasma membrane,"A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane.",2,"MAP7,RANGRF"
48193,Golgi vesicle transport,"The directed movement of substances into, out of or within the Golgi apparatus, mediated by vesicles.",2,"CCDC91,RANGRF"
15980,energy derivation by oxidation of organic compounds,The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released.,2,"GNMT,LEPR"
32970,regulation of actin filament-based process,"Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton.",2,"RANGRF,TGFB3"
5874,microtubule,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",2,"MAP7,RASSF5"
6302,double-strand break repair,The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix.,1,CDCA5
51258,protein polymerization,"The process of creating protein polymers, compounds composed of a large number of component monomers; polymeric proteins may be made up of different or identical monomers. Polymerization occurs by the addition of extra monomers to an existing poly- or oligomeric protein.",1,RANBP9
9895,negative regulation of catabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances.",1,LEPR
1902903,regulation of supramolecular fiber organization,"Any process that modulates the frequency, rate or extent of supramolecular fiber organization.",1,TGFB3
110053,regulation of actin filament organization,"Any process that modulates the frequency, rate or extent of actin filament organization.",1,TGFB3
32956,regulation of actin cytoskeleton organization,"Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.",1,TGFB3
775,"chromosome, centromeric region","The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome.",1,CDCA5
151,ubiquitin ligase complex,A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.,1,RANBP9
1901990,regulation of mitotic cell cycle phase transition,"Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition.",1,CDCA5
1901987,regulation of cell cycle phase transition,"Any process that modulates the frequency, rate or extent of cell cycle phase transition.",1,CDCA5
34976,response to endoplasmic reticulum stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen.",1,PDIA4
51650,establishment of vesicle localization,The directed movement of a vesicle to a specific location.,1,TRAK1
5938,cell cortex,"The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins.",1,TRAK1
5769,early endosome,A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways.,1,TRAK1
46785,microtubule polymerization,The addition of tubulin heterodimers to one or both ends of a microtubule.,1,RANBP9
42953,lipoprotein transport,"The directed movement of any conjugated, water-soluble protein in which the nonprotein group consists of a lipid or lipids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",1,CUBN
118,histone deacetylase complex,A protein complex that possesses histone deacetylase activity.,1,MBD2
72384,organelle transport along microtubule,"The directed movement of an organelle along a microtubule, mediated by motor proteins. This process begins with the attachment of an organelle to a microtubule, and ends when the organelle reaches its final destination.",1,TRAK1
45088,regulation of innate immune response,"Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection.",1,ERBIN
5765,lysosomal membrane,The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm.,1,CUBN
44872,lipoprotein localization,"Any process in which a lipoprotein is transported to, or maintained in, a specific location.",1,CUBN
98852,lytic vacuole membrane,The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell.,1,CUBN
51169,nuclear transport,"The directed movement of substances into, out of, or within the nucleus.",1,RANGRF
45637,regulation of myeloid cell differentiation,"Any process that modulates the frequency, rate or extent of myeloid cell differentiation.",1,CTR9
6997,nucleus organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nucleus.",1,LMNB2
6368,transcription elongation by RNA polymerase II,The extension of an RNA molecule after transcription pausing and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II.,1,CTR9
6354,DNA-templated transcription elongation,The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase.,1,CTR9
209,protein polyubiquitination,"Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain.",1,PLAA
6913,nucleocytoplasmic transport,The directed movement of molecules between the nucleus and the cytoplasm.,1,RANGRF
6888,endoplasmic reticulum to Golgi vesicle-mediated transport,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",1,RANGRF
1903706,regulation of hemopoiesis,"Any process that modulates the frequency, rate or extent of hemopoiesis.",1,CTR9
1932,regulation of protein phosphorylation,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein.",1,MAP7
