entity_id,label,degree,degree_centrality,betweenness_centrality,pagerank
Pathway_R-HSA-162582,Pathway_R-HSA-162582,1657,0.18038319181362944,0,0.041635578429952275
Pathway_R-HSA-168256,Pathway_R-HSA-168256,1197,0.1303069888961463,0,0.028914045917996976
Pathway_R-HSA-1643685,Pathway_R-HSA-1643685,1035,0.11267145656433704,0,0.02470035763998162
Pathway_R-HSA-74160,Pathway_R-HSA-74160,764,0.08317004136729807,0,0.01755475108879227
Pathway_R-HSA-392499,Pathway_R-HSA-392499,761,0.08284345743522752,0,0.016737392001052454
Pathway_R-HSA-1430728,Pathway_R-HSA-1430728,636,0.06923579359895493,0,0.014964205661817278
GO_0008150_instance,GO_0008150_instance,11,0.0011974744175919877,0,0.01385888312239714
GO_0110165_instance,GO_0110165_instance,1271,0.13836272588721968,0,0.012045487938777856
Pathway_R-HSA-1266738,Pathway_R-HSA-1266738,477,0.0519268451992162,0,0.011872658664502309
GO_0005575_instance,GO_0005575_instance,2,0.00021772262138036142,0,0.010959951605670003
Pathway_R-HSA-1640170,Pathway_R-HSA-1640170,448,0.048769867189200955,0,0.010734555800778273
GO_0009987_instance,GO_0009987_instance,1200,0.13063357282821686,0,0.007665360336043309
Pathway_R-HSA-9006934,Pathway_R-HSA-9006934,529,0.0575876333551056,0,0.007433472889869371
Pathway_R-HSA-8953897,Pathway_R-HSA-8953897,316,0.034400174178097105,0,0.006845213790284169
Pathway_R-HSA-73857,Pathway_R-HSA-73857,567,0.06172436316133246,0,0.006542580476637449
Pathway_R-HSA-168249,Pathway_R-HSA-168249,519,0.05649902024820379,0,0.0061397773352505815
Pathway_R-HSA-73894,Pathway_R-HSA-73894,220,0.023949488351839757,0,0.0059389821606734335
Pathway_R-HSA-597592,Pathway_R-HSA-597592,514,0.05595471369475288,0,0.0058851019907236995
Pathway_R-HSA-8953854,Pathway_R-HSA-8953854,275,0.029936860439799696,0,0.005810860585689873
Pathway_R-HSA-1280215,Pathway_R-HSA-1280215,479,0.05214456782059656,0,0.005718921970598234
Pathway_R-HSA-5663202,Pathway_R-HSA-5663202,403,0.04387110820814283,0,0.005700581235179225
Pathway_R-HSA-5653656,Pathway_R-HSA-5653656,270,0.02939255388634879,0,0.0052773197761158495
Pathway_R-HSA-5663205,Pathway_R-HSA-5663205,477,0.0519268451992162,0,0.00526385486443319
Pathway_R-HSA-69278,Pathway_R-HSA-69278,345,0.03755715218811234,0,0.0042967442173565615
GO_0003674_instance,GO_0003674_instance,3,0.00032658393207054214,0,0.0042543076633823895
GO_0043226_instance,GO_0043226_instance,1127,0.12268669714783366,0,0.004242536428242339
GO_0005488_instance,GO_0005488_instance,1228,0.13368168952754192,0,0.004209171770208993
Pathway_R-HSA-1280218,Pathway_R-HSA-1280218,337,0.0366862617025909,0,0.003925878579715603
Pathway_R-HSA-109582,Pathway_R-HSA-109582,182,0.019812758545612888,0,0.0038606620371917253
Pathway_R-HSA-212436,Pathway_R-HSA-212436,476,0.051817983888526015,0,0.0038074884307775078
Pathway_R-HSA-5357801,Pathway_R-HSA-5357801,138,0.015022860875244938,0,0.003279122814160664
Pathway_R-HSA-382551,Pathway_R-HSA-382551,146,0.015893751360766383,0,0.0032546301467964956
Pathway_R-HSA-1500931,Pathway_R-HSA-1500931,122,0.013281079904202046,0,0.0031487987063239706
GO_0005622_instance,GO_0005622_instance,1190,0.12954495972131505,0,0.0030679126802218033
Pathway_R-HSA-2262752,Pathway_R-HSA-2262752,275,0.029936860439799696,0,0.0030524658033009282
Pathway_R-HSA-9716542,Pathway_R-HSA-9716542,270,0.02939255388634879,0,0.0029654312669448036
Pathway_R-HSA-9824446,Pathway_R-HSA-9824446,374,0.040714130198127585,0,0.0028673973676726435
GO_0008152_instance,GO_0008152_instance,886,0.09645112127150011,0,0.002775248344037949
GO_0043227_instance,GO_0043227_instance,1089,0.11854996734160679,0,0.002761285645503026
GO_0043229_instance,GO_0043229_instance,1100,0.11974744175919878,0,0.0026124459737985623
Pathway_R-HSA-199991,Pathway_R-HSA-199991,249,0.027106466361854997,0,0.0025580141732624508
Pathway_R-HSA-556833,Pathway_R-HSA-556833,200,0.021772262138036142,0,0.002456042351003145
Pathway_R-HSA-4839726,Pathway_R-HSA-4839726,103,0.011212715001088613,0,0.0024480587459323497
Pathway_R-HSA-9675108,Pathway_R-HSA-9675108,208,0.022643152623557587,0,0.0024457049779553672
GO_0050789_instance,GO_0050789_instance,847,0.09220553015458306,0,0.0023645167851453672
GO_0016020_instance,GO_0016020_instance,695,0.07565861092967559,0,0.0022776994271289106
GO_0051179_instance,GO_0051179_instance,453,0.04931417374265186,0,0.0022086568226673473
Pathway_R-HSA-449147,Pathway_R-HSA-449147,273,0.029719137818419332,0,0.0020921212209808536
GO_0043231_instance,GO_0043231_instance,1057,0.11506640539952101,0,0.0020892919838313715
Pathway_R-HSA-9612973,Pathway_R-HSA-9612973,75,0.008164598301763554,0,0.0020009225970317747
